testcase;time;mutants;score;samples
fsm;2167;369;29.539295;40
fsm;2205;389;29.562983;40
fsm;2063;357;26.610643;40
fsm;2140;392;27.040817;40
fsm;2044;366;26.229507;40
fsm;2052;363;25.344353;40
fsm;2176;379;29.2876;40
fsm;2091;372;28.763441;40
fsm;2104;365;27.123287;40
fsm;2068;372;30.107527;40
fsm;2074;387;27.906977;40
fsm;2185;395;27.594936;40
fsm;2223;391;28.388746;40
fsm;2170;351;26.210827;40
fsm;2340;384;30.46875;40
fsm;2632;466;27.467812;50
fsm;2508;472;28.813559;50
fsm;2518;444;27.702703;50
fsm;2561;457;29.102844;50
fsm;2461;501;28.742516;50
fsm;2401;463;28.293737;50
fsm;2421;458;24.235807;50
fsm;2438;465;27.096775;50
fsm;2621;472;27.966103;50
fsm;2439;446;29.147982;50
fsm;2450;449;30.957684;50
fsm;2591;479;27.974947;50
fsm;2407;472;27.542374;50
fsm;2390;451;27.937916;50
fsm;2500;491;28.513239;50
gaad;9623;1488;15.053763;10
gaad;9553;1470;16.938776;10
gaad;9850;1481;17.35314;10
gaad;9769;1470;16.32653;10
gaad;9142;1400;18.0;10
gaad;9817;1455;15.051546;10
gaad;9639;1440;16.38889;10
gaad;9514;1475;16.813559;10
gaad;9806;1488;15.389785;10
gaad;9877;1465;16.040956;10
gaad;9815;1484;16.037735;10
gaad;9648;1440;17.63889;10
gaad;9846;1503;19.095142;10
gaad;9543;1471;17.471107;10
gaad;9924;1484;16.981133;10
gaad;15926;2796;17.88269;20
gaad;16571;2849;16.812918;20
gaad;15799;2734;16.97147;20
gaad;17356;2898;16.390614;20
gaad;16721;2814;16.773277;20
gaad;15814;2742;17.61488;20
gaad;17370;2761;18.218037;20
gaad;17367;2829;16.542948;20
gaad;17287;2783;15.954006;20
gaad;15599;2716;15.537556;20
gaad;16352;2798;16.225876;20
gaad;16132;2791;16.015764;20
gaad;16619;2790;17.132616;20
gaad;17018;2699;16.672842;20
gaad;16864;2848;16.292135;20
gaad;24300;4197;16.893019;30
gaad;26907;4123;15.910745;30
gaad;25089;4054;16.304884;30
gaad;24405;4069;16.711723;30
gaad;25735;4200;16.833334;30
gaad;24157;4164;16.762728;30
gaad;24134;4056;15.680473;30
gaad;24759;4102;16.699171;30
gaad;24218;4119;17.237194;30
gaad;23948;4088;17.02544;30
gaad;24602;4114;17.476908;30
gaad;25891;4087;16.98067;30
gaad;23775;4047;16.8767;30
gaad;23625;4053;17.813965;30
gaad;23109;4064;16.658464;30
gaad;31862;5395;16.886005;40
gaad;31187;5411;17.039364;40
gaad;32651;5529;16.62145;40
gaad;31991;5463;16.41955;40
gaad;32246;5490;16.630238;40
gaad;32620;5498;16.733358;40
gaad;31547;5395;16.886005;40
gaad;32486;5455;16.480293;40
gaad;31924;5442;16.299154;40
gaad;30906;5403;16.67592;40
gaad;31531;5439;17.025188;40
gaad;31186;5320;16.484962;40
gaad;31693;5429;17.203905;40
gaad;32029;5489;16.924759;40
gaad;32986;5543;17.084612;40
gaad;40115;6739;17.020329;50
gaad;41972;6840;16.637426;50
gaad;40587;6734;16.691416;50
gaad;39364;6721;16.961761;50
gaad;39525;6729;16.406599;50
gaad;39754;6722;16.126152;50
gaad;39940;6756;16.489046;50
gaad;39088;6719;16.743563;50
gaad;40318;6666;16.021603;50
gaad;42816;6830;16.442167;50
gaad;40439;6777;16.334661;50
gaad;39911;6730;16.508173;50
gaad;39549;6744;16.221827;50
gaad;39674;6717;16.30192;50
gaad;41675;6763;17.07822;50
Stringy;1909;171;42.105263;10
Stringy;1909;182;36.263737;10
Stringy;1955;198;35.858585;10
Stringy;1933;183;32.786884;10
Stringy;1977;185;37.2973;10
Stringy;2041;212;34.433964;10
Stringy;1975;187;35.828876;10
Stringy;1966;190;38.42105;10
Stringy;2021;188;37.765957;10
Stringy;1910;179;39.106144;10
Stringy;2065;193;33.16062;10
Stringy;2105;197;36.54822;10
Stringy;2013;183;36.065575;10
Stringy;1988;194;38.14433;10
Stringy;1913;169;36.094673;10
Stringy;2674;381;38.057743;20
Stringy;2588;364;36.813187;20
Stringy;2608;357;31.37255;20
Stringy;2603;364;32.142857;20
Stringy;2471;352;37.215908;20
Stringy;2656;368;36.684784;20
Stringy;2681;375;35.733334;20
Stringy;2758;355;39.43662;20
Stringy;2728;366;34.153004;20
Stringy;2608;353;35.69405;20
Stringy;2755;363;36.63912;20
Stringy;2719;359;36.49025;20
Stringy;2831;368;38.04348;20
Stringy;2667;348;37.931034;20
Stringy;2546;335;37.61194;20
Stringy;3071;526;34.22053;30
Stringy;3055;523;32.695984;30
Stringy;3378;558;34.22939;30
Stringy;3164;517;33.075436;30
Stringy;3171;523;36.13767;30
Stringy;3147;544;38.419117;30
Stringy;3436;579;36.787563;30
Stringy;3228;509;35.55992;30
Stringy;2978;500;36.0;30
Stringy;3168;526;37.262356;30
Stringy;3089;526;34.410645;30
Stringy;3201;544;39.889706;30
Stringy;3448;546;36.080585;30
Stringy;3135;535;35.51402;30
Stringy;3175;552;34.601448;30
Stringy;3815;714;36.134453;40
Stringy;3782;718;36.629528;40
Stringy;3790;716;36.03352;40
Stringy;3783;707;31.966053;40
Stringy;3974;754;36.870026;40
Stringy;3907;667;35.832085;40
Stringy;3658;665;37.593987;40
Stringy;3844;718;36.2117;40
Stringy;3618;684;35.672516;40
Stringy;3545;665;35.48872;40
Stringy;3915;735;35.37415;40
Stringy;3799;687;35.80786;40
Stringy;3608;674;35.756676;40
Stringy;3880;703;37.837837;40
Stringy;3673;673;36.40416;40
Stringy;4463;870;35.977013;50
Stringy;4245;878;37.813213;50
Stringy;4388;864;33.912037;50
Stringy;4595;907;36.27343;50
Stringy;4420;889;35.9955;50
Stringy;4742;896;36.71875;50
Stringy;4450;889;36.670418;50
Stringy;4390;863;34.646584;50
Stringy;4442;861;37.398373;50
Stringy;4453;893;37.06607;50
Stringy;4370;867;36.79354;50
Stringy;4419;872;36.926605;50
Stringy;4610;869;36.133488;50
Stringy;4388;879;36.29124;50
Stringy;4436;881;34.960274;50
trie;1501;130;33.846153;10
trie;1598;142;33.80282;10
trie;1417;116;31.896551;10
trie;1407;116;29.310345;10
trie;1434;130;29.23077;10
trie;1541;137;35.766422;10
trie;1588;142;31.690142;10
trie;1525;113;40.707966;10
trie;1540;128;28.90625;10
trie;1569;126;31.74603;10
trie;1559;122;40.98361;10
trie;1562;123;29.268293;10
trie;1667;141;42.553192;10
trie;1391;110;30.0;10
trie;1452;119;35.294117;10
trie;1923;232;37.068966;20
trie;1908;247;36.842106;20
trie;1940;263;40.68441;20
trie;1991;245;35.918365;20
trie;1819;240;32.5;20
trie;1837;239;34.309624;20
trie;1874;254;35.03937;20
trie;1751;229;33.624454;20
trie;1831;240;39.583332;20
trie;1795;217;35.02304;20
trie;1807;235;36.17021;20
trie;1911;229;34.061134;20
trie;1889;221;34.84163;20
trie;1878;229;40.17467;20
trie;1884;237;37.130802;20
trie;2172;339;32.743362;30
trie;2425;380;40.0;30
trie;2219;362;35.359116;30
trie;2205;338;37.573963;30
trie;2248;379;36.41161;30
trie;2174;353;33.144474;30
trie;2261;371;36.927223;30
trie;2173;341;37.82991;30
trie;2171;339;34.21829;30
trie;2377;385;32.727272;30
trie;2297;358;35.47486;30
trie;2359;361;39.05817;30
trie;2148;342;36.842106;30
trie;2221;357;36.134453;30
trie;2091;346;37.572254;30
trie;2508;469;34.328358;40
trie;2481;452;36.725662;40
trie;2426;451;37.250553;40
trie;2603;481;32.432434;40
trie;2594;478;35.355648;40
trie;2643;475;33.894737;40
trie;2530;456;37.061405;40
trie;2606;456;33.991226;40
trie;2762;479;37.36952;40
trie;2558;462;36.147186;40
trie;2566;485;35.257732;40
trie;2491;436;37.614677;40
trie;2478;459;35.947712;40
trie;2549;461;34.27332;40
trie;2594;493;35.6998;40
trie;2946;592;37.33108;50
trie;2933;570;37.017544;50
trie;2733;544;35.47794;50
trie;3020;571;38.353764;50
trie;3011;580;34.310345;50
trie;2959;574;34.843204;50
trie;2928;589;35.31409;50
trie;2940;590;36.61017;50
trie;2912;563;33.9254;50
trie;3015;592;37.33108;50
trie;2918;570;36.31579;50
trie;2806;580;35.172413;50
trie;2903;579;34.715027;50
trie;3112;606;36.79868;50
trie;3207;624;37.5;50
ujson;2091;217;43.7788;10
ujson;2244;226;44.690266;10
ujson;2096;215;43.720932;10
ujson;1946;176;51.704544;10
ujson;1949;198;52.525253;10
ujson;2193;227;42.731277;10
ujson;2158;219;40.182648;10
ujson;2229;205;45.853657;10
ujson;2150;220;47.727272;10
ujson;1947;196;46.938774;10
ujson;2096;207;40.579712;10
ujson;2356;235;47.659573;10
ujson;2168;222;46.846848;10
ujson;2186;212;41.509434;10
ujson;2214;210;49.52381;10
ujson;3077;417;48.681057;20
ujson;2887;393;47.5827;20
ujson;3104;429;46.62005;20
ujson;3049;432;47.685184;20
ujson;3220;453;47.46137;20
ujson;3011;399;49.122807;20
ujson;2984;422;43.838863;20
ujson;3146;422;48.578197;20
ujson;3053;397;50.88161;20
ujson;2858;382;46.0733;20
ujson;3062;418;43.301434;20
ujson;3270;439;46.69704;20
ujson;3079;414;43.47826;20
ujson;2977;407;45.945946;20
ujson;3043;416;46.153847;20
ujson;3959;606;48.18482;30
ujson;4204;616;47.564934;30
ujson;3941;591;45.00846;30
ujson;3969;601;48.08652;30
ujson;4071;610;46.885246;30
ujson;4224;620;48.870968;30
ujson;4215;617;47.32577;30
ujson;3931;568;45.070423;30
ujson;3937;559;47.942757;30
ujson;4200;572;42.83217;30
ujson;3970;596;45.134228;30
ujson;3872;600;46.0;30
ujson;3955;579;42.314335;30
ujson;4102;618;45.469257;30
ujson;4027;591;43.824028;30
ujson;4946;798;47.493732;40
ujson;5206;796;47.110554;40
ujson;4759;774;44.702843;40
ujson;4832;773;47.218628;40
ujson;5142;816;48.77451;40
ujson;4840;776;46.77835;40
ujson;4802;777;45.431145;40
